bus_100011,bus_100221,bus_100251,bus_100331,bus_100351,bus_100931,bus_102281,bus_103441,bus_105251,bus_105581,bus_105701,bus_106001,bus_106771,bus_107501,bus_110161,bus_130001,bus_131751,bus_133661,bus_134201,bus_134461,bus_135041,bus_200001,bus_200071,bus_200261,bus_201361,bus_204901,bus_211211,bus_211651,bus_216471,bus_230171,bus_230541,bus_230601,bus_232301,bus_232631,bus_233771,bus_251601,bus_252891,bus_253751,bus_253851,bus_254001,bus_254031,bus_254391,bus_255951,bus_255981,bus_256181,bus_256751,bus_257141,bus_257301,bus_258301,bus_261001,bus_261161,bus_261331,bus_262011,bus_280781,bus_280991,bus_281221,bus_283651,bus_284011,bus_284741,bus_285491,bus_286671,bus_300011,bus_301441,bus_301461,bus_301721,bus_301741,bus_302051,bus_302071,bus_302201,bus_302211,bus_303741,bus_400011,bus_400031,bus_400041,bus_400061,bus_400071,bus_400081,bus_400501,bus_401601,bus_401621,bus_401681,bus_401691,bus_402791,bus_402811,bus_403671,bus_403691,bus_403911,bus_405951,bus_406021,bus_406911,bus_407871,bus_408441,bus_408811,bus_409611,bus_409941,bus_500001,bus_500071,bus_500241,bus_500991,bus_501961,bus_503161,bus_530001,bus_530021,bus_530121,bus_532171,bus_600001,bus_600031,bus_601941,bus_605141,bus_605771,bus_606631,bus_700001,bus_700161,bus_700631,bus_701551,bus_701721,bus_740011,bus_740531,bus_741041,bus_741321,bus_742351,bus_770011,bus_771731,bus_772611,bus_800071
22.48554258,248.7390433,3666.25,64.41078468,0,1843.241756,1257.34,388.6509567,281.71,8.83802066,544.12,0,161.3574701,212.0019793,2338.975611,180.5795017,139.3482436,218.653278,456.9203036,923.6682421,3751.344725,80.42587661,193.0266697,1737.59,1667.02419,212.7232504,3011.888925,911.667816,992.5635113,449.3357767,227.5438657,247.16,1592.841734,23.98240751,894.2663207,161.4279766,1916.497153,191.4226574,658.6125101,383.8946286,282.5901709,49.15583521,348.2890433,743.76556,386.9844063,197.462333,406.8304813,253.9240901,266.2759304,2423.671504,0,1781.845139,947.0417063,157.3675648,2367.604672,98.90315176,298.7340501,1823.537226,2134.693142,287.3458579,235.3,1966.953829,45.49259905,213.1873377,243.9522956,75.15760331,50.24925633,175.173534,1009.312236,32.95047632,0,109.6425056,141.5497859,2406.537708,298.2239354,8.025281544,1409.98,7.2600078,52.0670345,63.93414446,207.4439788,62.52722754,44.14147688,147.3550658,189.6034723,746.8482997,68.59068465,901.7107458,267.2552933,7.497250135,328.468526,510.2203816,430.9314468,138.7387211,200.8495049,0,34.60975321,876.6565925,2839.305046,279.2220597,439.1680923,75.38397253,38.27582274,35.06547022,215.6417987,1812.097488,544.6415893,225.0804454,2202.514217,69.54383487,1104.957926,163.5835434,46.65451596,1057.027219,126.9880813,584.7661924,1134.559696,28.05979277,132.8283112,103.9186751,455.3142878,81.94,0,812.5168089,680.3545298
22.00807176,236.9536072,3561.84,63.0430494,0,1780.393087,1187.83,370.2363928,280.13,8.752377823,542.57,0,159.2655237,209.9476222,2289.308471,175.4365318,134.5969126,218.3228514,466.9115234,911.6931881,3671.686535,77.44285288,187.5291999,1632,1627.336996,204.833271,2900.176917,877.8537397,955.7489855,432.6697565,227.2000037,245.35,1533.76268,23.41145331,861.0976719,155.3183614,1843.962885,184.3227244,634.1843431,369.3652483,272.1088032,47.29541892,335.3708816,716.1790367,372.3380863,190.1383864,391.7409972,244.5059573,256.3996635,2333.776685,0,1715.755883,911.9156,151.5307471,2279.789391,95.23479946,287.6539003,1755.901596,2055.516631,276.6881001,227.64,1910.934268,44.40954721,208.1119421,238.1444721,73.36831049,49.05296175,171.003141,985.2833276,32.16601742,0,109.2951453,141.1013396,2398.913515,298.3214384,8.013153821,1407.49,7.265037114,52.10310353,63.97843434,207.587684,62.57054278,44.17205554,147.4571449,189.7348186,747.365673,68.63820032,908.2222841,268.1244495,7.485920367,327.9721477,510.5738328,434.043339,138.8348312,200.9886419,0,33.78579156,876.9432116,2840.233345,279.3133502,439.3116764,75.92834402,37.92100965,34.97185381,215.315923,1817.990713,539.5928156,222.993972,2182.097128,70.04603288,1094.715075,160.1099173,46.5653817,1060.464837,127.0295995,584.9573792,1159.368477,27.46395516,129.6660397,103.7201367,449.4112882,82.03,0,810.9644816,678.5381462
22.05622839,230.6979602,3505.63,63.18099608,0,1749.851981,1166.34,360.4620398,281.66,8.844423863,546.85,0,159.9359522,212.1555761,2294.317787,177.4324609,132.2880188,218.4967601,477.5602115,915.530962,3679.72068,75.37672404,189.6627064,1634.1,1623.313368,199.3684423,2822.801938,854.4331288,930.2501762,421.126387,227.3809837,244.79,1492.842813,23.35356795,838.1241028,152.5782814,1811.432245,179.4051048,617.2646854,362.8490173,264.8491037,46.46104731,326.4233878,697.0718098,365.7694094,185.0656084,381.2895826,237.9826851,249.5590744,2271.512924,0,1669.980546,887.5862391,147.4879977,2218.965978,92.69399217,279.9794668,1709.055195,2000.676681,269.3062277,226.65,1932.674833,44.29974358,207.5973805,237.5556544,73.18690566,48.93167718,170.5803318,982.847192,32.08648621,0,112.0835162,144.7011598,2460.115324,299.9570789,8.019536833,1433.48,7.45716285,53.48098322,65.67036015,213.0773926,64.22523655,45.34019668,151.3566862,194.7524037,767.1299464,70.45335481,921.2819766,270.3160864,7.491883403,328.2333994,524.0760864,440.2846223,142.5063533,206.3038371,0,33.70225542,881.7513268,2855.805812,280.8447729,441.72034,77.02014814,38.88026056,35.64334321,215.4874365,1832.850886,553.2423705,228.6348337,2237.295517,71.05325289,1122.407018,160.4602594,46.87783602,1069.133028,127.726079,588.1645908,1185.809789,27.52404999,129.3454375,104.4161002,451.3030858,83.2,0,816.4060638,691.5666568
22.59777858,228.6023379,3555.67,64.73228945,0,1771.67237,1174.76,357.1876621,286.41,9.111357379,554.99,0,162.661663,218.5586426,2350.650548,184.0320655,133.9376303,219.007617,490.9019352,931.1339118,3770.069465,75.46223021,196.7172153,1670.83,1639.524898,199.5946027,2826.00408,855.4023842,931.3054373,421.6041062,227.9126124,246.5,1494.53627,23.58679284,839.0748576,153.1213955,1817.880176,179.6086191,617.9649007,364.1406061,265.1495443,46.62642896,326.7936773,697.8625571,367.0713935,185.2755439,381.7221114,238.2526489,249.8421702,2274.089692,0,1671.874945,888.5931029,147.6553057,2221.483138,92.79914278,280.2970711,1710.99392,2002.946217,269.6117244,229.86,2004.560719,44.74215147,209.6705916,239.9280495,73.91780073,49.42034276,172.283865,992.662584,32.40692406,0,116.8157847,150.8105749,2563.98364,303.4025507,8.038286932,1468.56,7.754576823,55.6139649,68.28949065,221.5755567,66.7867312,47.14849942,157.3932439,202.5197124,797.7253846,73.26324546,934.0914601,272.8749844,7.50939982,329.0008264,544.9778092,446.4063296,148.1899332,214.5318516,0,34.03882946,891.879607,2888.609166,284.0707103,446.7941825,78.09103452,40.60066228,36.46530504,215.9912575,1850.201235,577.7226367,238.7516322,2336.292978,72.04117569,1172.072091,164.4000665,48.42751255,1079.253781,129.1932109,594.9205725,1218.938065,28.1998525,130.6371705,107.8678632,458.9944252,84.8,0,843.3946243,707.514695
23.59875851,235.5409158,3729.09,67.59963865,0,1872.760177,1226.25,368.0290842,293.42,9.379891697,564.18,0,168.2230768,225.0001083,2454.773792,191.769666,141.5798228,220.6988795,506.0122197,962.9694461,3937.066582,76.82033287,204.988161,1724.5,1662.41097,203.1867303,2876.864009,870.7971619,948.0662512,429.191765,229.6726427,248.53,1521.433615,23.91604007,854.1757868,155.9149513,1851.04569,182.8410566,629.086488,370.7840089,269.9214719,47.47708429,332.6750217,710.4220719,373.7682658,188.6099697,388.5920093,242.5405099,254.3386093,2315.016753,0,1701.963876,904.5852179,150.3126757,2261.463432,94.4692599,285.3416106,1741.78688,2038.993476,274.4639584,235.31,2088.842173,45.36670564,212.5973762,243.277197,74.94961679,50.11019963,174.6887696,1006.519127,32.8592912,0,122.5377412,158.1976892,2689.57457,308.7515224,8.100361726,1508.72,7.993067475,57.32436265,70.38972198,228.3900742,68.84074542,48.59854326,162.2338455,208.7481707,822.2592891,75.51644374,949.4945742,276.1249467,7.567390341,331.5414994,561.7385063,453.7675441,152.7474886,221.1297411,0,34.51397632,907.6033996,2939.535201,289.0788626,454.6711415,79.37875115,42.19578662,37.29412881,217.6592264,1872.237276,600.4202821,248.1317388,2428.081574,73.2291305,1218.120618,171.6822498,50.27947046,1092.107778,131.4708808,605.4089923,1256.45778,29.44897911,132.4607303,111.9929303,474.6874771,86.64,0,875.6475992,723.5958712
25.0917198,246.9985451,3932.33,71.87628919,0,2007.801141,1287.69,385.9314549,301.09,9.640822211,572.1,0,174.5083438,231.2591778,2610.073581,198.9641146,151.7888587,225.4705004,520.2985157,998.9485771,4186.142734,78.32239793,212.6785159,1775.52,1684.572429,207.1596328,2933.115222,887.8238258,966.6037546,437.5837353,234.6382809,251.75,1551.182149,24.23486277,870.8774536,159.0599994,1888.384172,186.4161409,641.3869923,378.2633015,275.1992363,48.43477124,339.1798038,724.3129277,381.3077555,192.2978533,396.1901342,247.2828953,259.3116825,2360.282188,0,1735.242311,922.2725384,153.2517337,2305.681741,96.31641376,290.9208843,1775.843973,2078.861838,279.8305418,241.51,2167.20737,45.97148532,215.4314937,246.5203046,75.94876374,50.77821444,177.0175307,1019.936948,33.29733562,0,128.0620901,165.3296898,2810.82822,314.4735254,8.275495625,1547.68,8.134453685,58.33835063,71.63481794,232.4299759,70.05844215,49.45818368,165.1035359,212.4406346,836.8039086,76.85222426,965.5323649,278.6224925,7.731001131,338.7095935,571.6748766,461.4320734,155.4493785,225.0412177,0,34.97407919,924.4237518,2994.012759,294.4362778,463.0974306,80.71952743,43.35090552,38.23764493,222.3651285,1889.171632,616.8569189,254.9243995,2494.550839,74.46603433,1251.466937,182.5436242,51.99724256,1101.985875,133.9073927,616.6288626,1291.931484,31.31205108,134.226553,115.8191109,492.4230791,88.18,0,905.5636466,741.9023551
26.40017483,258.4991014,4127.49,75.6244138,0,2144.896774,1353.35,403.9008986,309.12,9.883743717,581.14,0,180.7014269,237.0862563,2746.180789,207.2911584,162.1532265,227.8552239,534.6623297,1034.400014,4404.43704,80.35580343,221.5795346,1840.51,1703.767925,212.5379096,3009.264737,910.8735013,991.698714,448.944281,237.1199688,250.75,1591.453929,24.51101605,893.4871675,162.8283753,1933.122896,191.2558753,658.0386765,387.2249406,282.3439567,49.58226542,347.9855873,743.1175345,390.3415224,197.2902887,406.4760194,253.702852,266.0439304,2421.559816,0,1780.292659,946.2165711,157.2304541,2365.541833,98.81697977,298.4737701,1821.94842,2132.833234,287.0955002,253.32,2257.909307,46.49532475,217.8863091,249.3293732,76.81419058,51.35682596,179.0346237,1031.559004,33.67675467,0,135.607482,175.0708809,2976.441637,322.4895881,8.363022681,1582.81,8.404191552,60.27284592,74.01022307,240.1373362,72.38157478,51.0982133,170.5783566,219.4851499,864.5522627,79.40063819,1010.075681,283.8919647,7.812769256,342.2920078,590.6315722,482.7195158,160.6040682,232.5035674,0,35.37260453,947.9877028,3070.331406,301.9415827,474.9019793,84.44339577,45.8529191,40.15996712,224.7170075,1924.900756,652.4590446,269.6374557,2638.524765,77.90140761,1323.695815,192.0627056,53.47086432,1122.82728,137.3207486,632.3469922,1327.59767,32.94487702,135.7560481,119.1014688,509.898559,90.03,0,931.2276669,779.2000329
27.6634389,270.3625868,4285.18,79.24308698,0,2280.830263,1417.81,422.4374132,317.99,10.19029705,590.41,0,186.1779896,244.4397029,2877.587173,217.5315783,172.4297369,224.3357459,554.7940635,1065.74983,4615.191972,86.51157193,232.5258166,1927.57,1730.866655,228.8196729,3239.793663,980.6522374,1067.669178,483.3362843,233.4573865,265.74,1713.369478,24.90086809,961.9339992,173.3113119,2057.577892,205.9072986,708.4486479,412.1545911,303.9733097,52.77438562,374.643509,800.0450906,415.4718193,212.4039867,437.6146824,273.1381131,286.4245971,2607.066786,0,1916.674463,1018.702812,169.2753125,2546.757468,106.3869924,321.3387699,1961.521323,2296.221901,309.0888518,271.16,2369.452605,47.2348411,221.3518293,253.2950009,78.03593384,52.17366534,181.882201,1047.966132,34.21238939,0,137.1491512,177.0611942,3010.279655,336.517424,8.23384647,1598.58,8.804245188,63.14193463,77.53323402,251.5682768,75.82705933,53.53057409,178.6981729,229.9330117,905.7064028,83.18024194,1029.463832,285.966862,7.692092323,337.004926,618.7466272,491.9851966,168.2490916,243.5711278,0,35.93521205,989.2238121,3203.886431,315.0756097,495.5595362,86.06426572,46.0627378,40.62216748,221.2460028,1938.969387,655.4446366,270.8712916,2650.59841,79.39670573,1329.752924,201.2530203,55.71375344,1131.033751,143.2940047,659.853182,1377.585936,34.52130898,137.915272,124.0972996,525.3521803,92.96,0,970.288947,788.1678325
28.25928887,281.8553382,4452.59,80.94992433,0,2440.945615,1492.7,440.3946618,323.08,10.73256829,598.2,0,192.4129745,257.4474317,2939.568268,231.0278237,184.5343851,219.1728303,555.8362511,1101.441128,4714.599785,89.58435688,246.952345,2007.12,1744.413769,236.9470671,3354.867161,1015.483802,1105.591478,500.5037965,228.0845434,276.5,1774.226261,25.09576173,996.1007153,181.1678047,2150.851353,213.2208734,733.6118752,430.8382508,314.7700689,55.16673713,387.950387,828.4617111,434.3058546,219.9483158,453.1582192,282.839644,296.5980475,2699.666601,0,1984.75239,1054.885887,175.2877641,2637.21517,110.165728,332.752329,2031.192155,2377.780887,320.0673088,287.4,2516.459831,47.60453786,223.0843017,255.2774854,78.64670401,52.5820172,183.3057532,1056.168334,34.48016228,0,132.5699358,171.1493724,2909.770692,332.3658769,8.044350793,1541.06,9.029403695,64.75671744,79.51605785,258.001848,77.76624969,54.89955733,183.2681744,235.8132857,928.8688087,85.30748155,1031.300733,280.6326291,7.515064704,329.2490155,634.5703649,492.8630594,172.5518698,249.8001809,0,36.21646909,977.0199591,3164.360736,311.1885859,489.445919,86.21783256,45.80483565,40.85253246,216.1541953,1902.80116,651.7748464,269.3547016,2635.757889,79.53837546,1322.307728,205.5878612,56.91222163,1109.93621,141.5262157,651.7127075,1380.173749,35.26487238,138.9947047,126.7667781,542.9458975,93.18,0,991.1610003,792.6374675
28.34543415,289.2348944,4571.26,81.19669112,0,2546.709884,1524.3,451.9251056,324.88,10.7721881,601.18,0,196.1621362,258.3978119,2948.529213,234.377775,192.530116,216.5359392,545.2880495,1122.90268,4728.971716,90.59162086,250.5332052,2048.71,1748.950477,239.6112403,3392.588444,1026.901647,1118.022471,506.1313353,225.3404344,282.37,1794.175215,25.16102844,1007.300621,185.5728773,2203.149036,215.6182752,741.8604226,441.3140294,318.3092644,56.50810949,392.3124036,837.7767263,444.8659475,222.4213594,458.2534163,286.0198218,299.9329214,2730.020974,0,2007.068446,1066.746759,177.2586556,2666.867354,111.4044037,336.4937125,2054.030368,2404.516057,323.6660651,297.95,2552.94902,47.72834329,223.6644784,255.9413872,78.851241,52.71876759,183.7824776,1058.915117,34.56983506,0,126.8413786,163.7537365,2784.034885,329.9513078,7.94756837,1510.16,8.951821323,64.20031527,78.8328406,255.7850465,77.09806713,54.42784978,181.693499,233.7871326,920.8877894,84.57450327,1017.063227,276.2203835,7.424650176,325.2877862,629.1180144,486.058894,171.069271,247.6538498,0,36.31065749,969.9221119,3141.372312,308.9278654,485.890196,85.027562,45.85384915,40.91428988,213.5536216,1872.884375,652.4722786,269.6429248,2638.578283,78.44031738,1323.722664,206.2145728,57.22467594,1092.485242,140.4980571,646.9781499,1353.981951,35.3723734,139.3561891,127.4627415,553.5251841,92.89,0,996.6025825,793.8357101
