line,reactance,limit
line_301441_301741,0.002620894067176912,19993.17738791423
line_301441_301721,0.015206555644883693,3445.8822381405084
line_400061_400071,0.0006193539408218142,84604.28931875527
line_100011_100221,0.08292502481841726,631.8961027113519
line_100011_102281,0.09262268211770627,565.7361544919344
line_100221_100931,0.09006587726173683,581.7963649842933
line_100221_131751,0.09572540665970906,547.3990848247315
line_100221_100331,0.09341773868402659,560.9213061476067
line_100221_110161,0.06464775697262824,810.5462966361861
line_100221_100251,0.07628582869227338,686.8903556304599
line_100221_105251,0.0934970410464653,560.4455436612024
line_100221_103441,0.07445496217894126,703.7811647001379
line_100221_102281,0.05267435414036796,994.7915044266732
line_100221_105581,0.09218508962640481,568.4216418550938
line_100221_107501,0.061467519007616996,852.4827558682928
line_100221_105701,0.09468115153206788,553.4364459250633
line_100221_135041,0.07575524227824634,691.7013057332276
line_100251_100931,0.0827213052044645,633.4522874183561
line_100251_131751,0.09174231495143399,571.1650074203949
line_100251_100331,0.0702293070873302,746.1272533251761
line_100251_110161,0.053896131363394065,972.240468368566
line_100251_103441,0.07040586168742721,744.2562131067189
line_100251_102281,0.06189572451112356,846.5851302957599
line_100251_107501,0.05242205125162206,999.579351606899
line_100251_135041,0.07445384367975949,703.7917374069044
line_100331_100931,0.022345980499648824,2344.9407378129363
line_100331_131751,0.07317042658520408,716.1363196233696
line_100331_100351,0.003196853692318451,16391.116092021715
line_100331_110161,0.08962379052456101,584.6661884451318
line_100331_103441,0.08862411808872973,591.2611728055512
line_100331_102281,0.0850074473229643,616.4165805487542
line_100331_107501,0.08804034757268049,595.1816575547014
line_100331_135041,0.060835676007898985,861.3366931797768
line_100351_100931,0.05450346164589811,961.4068247708004
line_100351_131751,0.0805268509108349,650.714630055769
line_100351_135041,0.07152471635817101,732.6138804605523
line_100931_204901,0.03722607653967659,1407.6154371022853
line_100931_201361,0.03430693487845397,1527.3879810495446
line_100931_134461,0.04649732158274246,1126.9466329744105
line_100931_130001,0.0909153870239765,576.3600828777301
line_100931_200071,0.07251231679767464,722.6358543502004
line_100931_133661,0.0688966233339874,760.559770048274
line_100931_131751,0.028308347093517035,1851.044139980898
line_100931_110161,0.07621440749393325,687.5340466849538
line_100931_106001,0.05830787314703074,898.6779515669645
line_100931_106771,0.08620744328751027,607.836145021038
line_100931_103441,0.08319901851224089,629.8151220652982
line_100931_102281,0.07789123429788608,672.7329522036102
line_100931_105581,0.09534906398116652,549.5596685705286
line_100931_107501,0.07397333843588318,708.3633253272462
line_100931_105701,0.09130007647657229,573.9316112560531
line_100931_135041,0.024153903968791475,2169.4215588380434
line_102281_742351,0.09211350745035142,568.8633670609412
line_102281_131751,0.08695678035104425,602.5982078506285
line_102281_110161,0.03691477587663368,1419.485795474331
line_102281_106001,0.09229382834741896,567.7519389785438
line_102281_740531,0.09483523027432142,552.5372780603494
line_102281_106771,0.09064222900526207,578.0969927047802
line_102281_105251,0.0655536762515033,799.3449489996887
line_102281_103441,0.05647834201223943,927.7892751994098
line_102281_105581,0.07562504899302724,692.8921130990788
line_102281_107501,0.03151341081669788,1662.7841494147322
line_102281_105701,0.08123826536495116,645.0162342167275
line_102281_135041,0.0552223768970667,948.890702362784
line_103441_131751,0.09196369354912454,569.7900766894419
line_103441_110161,0.07200285188950008,727.7489519500728
line_103441_105251,0.09540227071034733,549.2531740580122
line_103441_105581,0.09490840261136957,552.111283703375
line_103441_107501,0.06904658499640076,758.9079170639865
line_103441_135041,0.07400375868994498,708.0721429237308
line_105251_110161,0.07676637853846834,682.5904907542549
line_105251_105581,0.09528551141430734,549.9262083210273
line_105251_107501,0.07280681077199422,719.7128873574575
line_105251_135041,0.08737828013475273,599.6913640230725
line_105581_742351,0.09547395558686343,548.8407773398035
line_105581_110161,0.06311337963008994,830.2518468685803
line_105581_106001,0.09010147949764863,581.5664769563243
line_105581_106771,0.09457845920084273,554.037361601817
line_105581_107501,0.06232657378886145,840.7328818925796
line_105581_105701,0.07715484588647423,679.1537122256904
line_105581_135041,0.0634283757618825,826.1286745969295
line_105701_742351,0.09544933265575861,548.9823610289917
line_105701_131751,0.09549138732389374,548.7405876957926
line_105701_110161,0.06803472704171327,770.1949030804908
line_105701_106001,0.05237686185278452,1000.4417627631168
line_105701_106771,0.09428297520306708,555.7737214713543
line_105701_107501,0.06811061049565122,769.3368128501165
line_105701_135041,0.05887360401563954,890.0423352047574
line_106001_134461,0.09272980322528597,565.0826182893413
line_106001_131751,0.06331020780951661,827.6706365845064
line_106001_110161,0.08085782820713396,648.0510441829656
line_106001_106771,0.09262784066269808,565.7046480313977
line_106001_107501,0.08146061794316861,643.2556163096763
line_106001_135041,0.03393606020736682,1544.0802403051207
line_106771_742351,0.048576261267149395,1078.7162007347915
line_106771_741321,0.07631554445183414,686.622894148017
line_106771_134461,0.08390296799799522,624.5309462860962
line_106771_771731,0.08904925950996778,588.4383574703907
line_106771_740011,0.09560422110221309,548.0929544311409
line_106771_110161,0.0711680130331335,736.2858363855722
line_106771_107501,0.07411776547407128,706.9829974614003
line_106771_135041,0.0532525766438448,983.9899456969592
line_107501_742351,0.07554817239251437,693.5971889267307
line_107501_134461,0.08302657514289513,631.1232266273246
line_107501_131751,0.0829217972259898,631.9206982115012
