bus_100011,bus_100221,bus_100251,bus_100331,bus_100351,bus_100931,bus_102281,bus_103441,bus_105251,bus_105581,bus_105701,bus_106001,bus_106771,bus_107501,bus_110161,bus_130001,bus_131751,bus_133661,bus_134201,bus_134461,bus_135041,bus_200001,bus_200071,bus_200261,bus_201361,bus_204901,bus_211211,bus_211651,bus_216471,bus_230171,bus_230541,bus_230601,bus_232301,bus_232631,bus_233771,bus_251601,bus_252891,bus_253751,bus_253851,bus_254001,bus_254031,bus_254391,bus_255951,bus_255981,bus_256181,bus_256751,bus_257141,bus_257301,bus_258301,bus_261001,bus_261161,bus_261331,bus_262011,bus_280781,bus_280991,bus_281221,bus_283651,bus_284011,bus_284741,bus_285491,bus_286671,bus_300011,bus_301441,bus_301461,bus_301721,bus_301741,bus_302051,bus_302071,bus_302201,bus_302211,bus_303741,bus_400011,bus_400031,bus_400041,bus_400061,bus_400071,bus_400081,bus_400501,bus_401601,bus_401621,bus_401681,bus_401691,bus_402791,bus_402811,bus_403671,bus_403691,bus_403911,bus_405951,bus_406021,bus_406911,bus_407871,bus_408441,bus_408811,bus_409611,bus_409941,bus_500001,bus_500071,bus_500241,bus_500991,bus_501961,bus_503161,bus_530001,bus_530021,bus_530121,bus_532171,bus_600001,bus_600031,bus_601941,bus_605141,bus_605771,bus_606631,bus_700001,bus_700161,bus_700631,bus_701551,bus_701721,bus_740011,bus_740531,bus_741041,bus_741321,bus_742351,bus_770011,bus_771731,bus_772611,bus_800071
0,3.666,0,0,0,0.4725,0,0,0,0,0,57.2074,1.1583,0,0,0,0,1.89,396.39,760.9747,89.0668,7.8,0,2.34,40.7605,0.6675,0,0,4.3645,0.013,12.8806,0.2436,3.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.9891,21.09,246.555,0,0,0,0,1.815,2.0625,1.275,0.0899,14.19,0.0675,0,0,0,0,0,0,0,23.505,0,0,0,0,0,64.6425,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.51,0,197.847,3.5154,23.013,64.656,271.3487,0,90.9345,0,10.575,4.92,8.2255,188.5108,63.255,7.029,34.1154,80.2072,0,0,462.0755,4.41,0,1.6672,40.2775,0.195,5.34,877.44,0,0
0,3.684,0,0,0,0.5625,0,0,0,0,0,45.8176,1.2636,0,0,0,0,2.16,349.41,531.3649,89.603,6.33,0,0.6,12.9155,0.6075,0,0,1.3533,0.018,7.7461,0.1044,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.2969,21.57,234.555,0,0,0,0,1.935,3.0525,19.9555,0.3696,6.0225,0.045,0,0,0,0,0,0,0,22.29,0,0,0,0,0,68.235,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,132.1495,2.8728,12.4545,58.036,281.542,0,79.8508,0,9.45,3.03,10.4282,118.2084,61.17,9.29,34.1598,82.4417,0,0,461.8592,2.775,0,1.229,39.486,0.135,10.32,857.322,0,0.4032
0,3.762,0,0,0,0.7425,0,0,0,0,0,35.8366,6.0021,0,0,0,0,2.61,316.0725,385.2631,106.0655,5.775,0,0,0.436,0.63,0,0,0.5576,0.032,1.6621,0,2.6325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784.9283,22.11,230.325,0,0,0,0,2.19,4.5375,93.713,1.2338,1.38,0.045,0,0,0,0,0,0,0,21.3375,0,0,0,0,0,71.665,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0.234,79.5995,2.2869,5.4531,56.204,291.8573,0,70.0416,0,8.37,1.38,13.2911,80.4602,59.235,88.2936,36.1311,84.0909,0,0,461.6086,1.86,0,3.234,38.7095,0.0225,16.98,828.3045,0,0.6552
0,3.894,0,0,0,1.035,0,0,0,0,0,28.4353,17.1639,0,0,0,0,2.97,296.3775,326.7624,154.18,5.6625,0,0.008,0,0.735,0,0,0.5585,0.05,1.6034,0,2.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540.9102,22.59,234.3,0,0,0,0,2.46,6.8475,289.2275,3.1441,0.2925,0.045,0,0,0,0,0,0,0,20.145,0,0,0,0,0,74.9725,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,1.2675,43.657,1.7577,2.9025,58.692,298.8345,0,60.7446,0,7.68,0.735,16.0383,60.8166,58.161,198.876,40.017,85.6795,0,0,461.9536,1.5525,0,7.056,38.0005,0,22.35,793.1475,0,0.9576
0,3.648,0,0,0,1.2375,0,0,0,0,0.0675,17.8319,8.9505,0,0,0,0,1.98,271.245,250.2516,164.5808,4.365,0,0.012,0,0.3375,0,0,1.0087,0.044,1.6382,0,2.5575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.273,23.43,328.425,0,0,0,0,1.014,4.125,226.6075,2.318,0.2625,0,0,0,0,0,0,0,0,27.6675,0,0,0,0,0,79.1925,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,2.5935,7.733,1.0962,3.12,37.966,305.8053,0,65.5441,0,7.32,0.585,15.5944,9.057,41.472,178.4362,46.3254,72.3033,0,0,413.33,0.45,0,6.762,24.3295,0,21.45,569.19,0,1.1592
0,3.45,0,0,0,1.575,0,0,0,0,2.52,11.3769,9.477,0,0,0,0,1.89,263.79,202.2554,216.2405,3.78,0,0.018,0.009,0.495,0,0,2.7096,0.04,1.7543,0,4.1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471.6918,24.09,447.93,0,0,0,0,2.657,2.475,169.888,2.4505,2.145,0,0,0,0,0,0,0,0,37.005,0,0,0,0,0,81.9725,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,4.533,0,0.6426,3.7725,33.76,313.9362,0,70.9909,0,7.29,1.95,15.9715,7.804,28.998,147.763,55.4292,58.2772,0,0,363.0535,0.075,0,6.594,13.8715,0,20.4,336.2745,0,1.4616
0,3.204,0,0,0,2.16,0,0,0,0,4.995,7.4099,19.0593,0,0,0,0,2.88,274.3725,177.3492,328.7895,3.705,0,0.026,0.034,1.575,0,0,5.1759,0.036,2.1358,0,7.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458.1883,24.57,592.8825,0,0,0,0,9.261,1.4025,122.737,3.6811,4.785,0,0,0,0,0,0,0,0,48.6225,0,0,0,0,0,83.93,0,0,0,0,0,0,0,0,0,1.17,0,0,3.7888,0,0,0,0,0,0,8.16,0,0.2268,6.0447,39.978,325.1793,0,77.1896,0,6.93,3,16.2857,8.0912,19.44,109.042,67.3578,48.462,0,0,332.0927,0.96,0,6.552,7.342,0,19.2,186.063,0,1.764
0,2.862,0,0,0,2.6775,0,0,0,0,5.49,5.144,12.636,0,0,0,0,1.62,198.09,177.8235,327.4412,2.07,0,0.023,0.027,1.3425,0,0,2.8456,0.036,2.3842,0,4.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179.8971,23.97,471.255,0,0,0,0,8.37,1.815,48.548,0.315,3.8625,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,83.0875,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,6.2265,0,0,3.135,38.912,286.1315,0,55.5814,0,5.79,1.65,13.3145,25.6422,0.972,88.14,39.288,33.2889,0,0,312.7089,1.68,0,5.481,5.712,0,11.43,99.9735,0,0
0,2.652,0,0,0,3.3525,0,0,0,0,6.5025,3.5337,7.371,0,0,0,0,1.155,144.18,195.1559,355.1817,0,0,0.08,0.023,1.1325,0,0,1.583,0.038,2.6819,0,2.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.855,23.1,383.58,0,0,0,0,7.83,2.2275,18.65,0,4.0725,0,0,0,0,0,0,0,0,7.3875,0,0,0,0,0,81.9025,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,4.7415,0,0,2.16,39.376,213.0284,0,37.5866,0,3.27,0.975,11.8598,60.0964,0,73.846,20.7741,17.26,0,0,314.0247,3.45,0,4.893,4.4615,0,5.34,50.5635,0,0
0,2.622,0,0,0,4.1175,0,0,0,0,7.6725,4.6377,3.2643,0,0,0,0,2.2275,112.8675,234.8434,420.9853,0,0,0.333,0.019,0.9525,0,0,8.6039,0.04,3.0887,0,1.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.6638,21.78,327.9825,0,0,0,0,7.545,2.805,2.567,0.0075,5.085,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,80.7475,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,3.7875,0,0,1.7475,41.664,140.7894,0,22.1702,0,0.735,2.25,11.835,129.5214,0,67.367,8.337,7.74,0,0,349.0227,6.48,0,4.704,4.935,0,1.74,30.834,0,0
