bus_100011,bus_100221,bus_100251,bus_100331,bus_100351,bus_100931,bus_102281,bus_103441,bus_105251,bus_105581,bus_105701,bus_106001,bus_106771,bus_107501,bus_110161,bus_130001,bus_131751,bus_133661,bus_134201,bus_134461,bus_135041,bus_200001,bus_200071,bus_200261,bus_201361,bus_204901,bus_211211,bus_211651,bus_216471,bus_230171,bus_230541,bus_230601,bus_232301,bus_232631,bus_233771,bus_251601,bus_252891,bus_253751,bus_253851,bus_254001,bus_254031,bus_254391,bus_255951,bus_255981,bus_256181,bus_256751,bus_257141,bus_257301,bus_258301,bus_261001,bus_261161,bus_261331,bus_262011,bus_280781,bus_280991,bus_281221,bus_283651,bus_284011,bus_284741,bus_285491,bus_286671,bus_300011,bus_301441,bus_301461,bus_301721,bus_301741,bus_302051,bus_302071,bus_302201,bus_302211,bus_303741,bus_400011,bus_400031,bus_400041,bus_400061,bus_400071,bus_400081,bus_400501,bus_401601,bus_401621,bus_401681,bus_401691,bus_402791,bus_402811,bus_403671,bus_403691,bus_403911,bus_405951,bus_406021,bus_406911,bus_407871,bus_408441,bus_408811,bus_409611,bus_409941,bus_500001,bus_500071,bus_500241,bus_500991,bus_501961,bus_503161,bus_530001,bus_530021,bus_530121,bus_532171,bus_600001,bus_600031,bus_601941,bus_605141,bus_605771,bus_606631,bus_700001,bus_700161,bus_700631,bus_701551,bus_701721,bus_740011,bus_740531,bus_741041,bus_741321,bus_742351,bus_770011,bus_771731,bus_772611,bus_800071
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0.0768,0.021,0,7.1029,0,0.6376,0.01,0,0,0.045,3.4328,0.0966,0.042,0.08,19.6957,6.5241,5.9742,0,0.0396,0.13,2.9382,0,5.5554,0,1.1902,0,1.4565,0.4175,49.5587,44.26,0,0,2.8728,0,5.5501,4.7636,69.5794,95.5185,0.09,0,1.3311,0.0023,0,0.36,17.5458,93.3977,50.6146,0,247.529,2.1153,5.2412,5.8081,0,13.7668,0,0,0,0,0,0,0,0,0,0,0,0,0,106.4811
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,5.61,5.13,0,0,0,0,1.1469,0.3263,0.037,0,0.4491,0.021,0.8855,45.967,65.531,254.755,0.04,0.523,3.6787,0.8778,0,0.8048,0,0.497,0,0,1.9666,0.7533,11.7776,2.9532,0.492,0,720.8554,4.376,24.7103,0,0,3.4604,2.7246,84.7062,0.8073,0.1288,180.637,14.3511,106.1852,2.38,0,0,8.07,197.1733,18.561,5.3298,21.04,210.5825,9.3039,100.4264,0,2.288,5.062,8.3996,0,13.0421,0,2.0619,0,2.7724,1.3725,73.6642,58.006,0,0,5.0692,0,3.9462,8.3042,191.5469,176.255,7.284,0,94.4457,0.3175,0,76.32,25.4247,119.3915,60.0639,0,328.174,3.1596,5.7869,7.0478,0,19.547,0,0,0,0,0,27.36,0,0,42.96,0,0,0,0,138.1592
0,0,0,0,0,0,0,0,0,0,0.0865,0,0,0,0,0,0.9023,3.8013,269.25,116.85,0,0,0,0,19.631,2.3851,0.28,0,4.5836,0.198,3.9559,101.121,132.2194,322.48,0.64,0.698,4.7882,2.4928,0,1.0224,0,0.61,0,0,2.4882,1.058,13.2332,4.1389,0.649,0,1024.8944,18.9018,39.7371,0,0,4.3416,5.1733,148.2994,4.499,0.9498,372.7389,29.4504,153.2044,3.23,0,0,9.9,365.2407,23.5119,7.9933,27.96,499.8787,23.3549,337.866,0,2.5388,6.653,11.1552,0,24.4344,0,1.0632,0,1.8817,1.59,97.3941,96.527,0,0,5.738,0,6.5984,10.4948,219.9213,352.1665,8.67,0,97.4009,0.635,0,89.88,30.0669,132.9053,71.1219,0,375.335,3.8994,6.4267,9.2989,0,21.7562,0,0,0,0,0,21.24,0,0,76.44,0,0,0,0,149.0074
0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,2.5897,4.7648,290.34,78.42,0,0,0,0,30.29,2.5714,0.6245,0,7.2327,1.137,6.4369,144.3075,209.4401,321.465,0.681,0.725,5.098,2.4244,0,1.0496,0,0.622,0,0,2.6452,1.1451,15.5963,4.2159,0.694,0,1120.359,44.3281,51.4106,0,0,4.8509,5.6434,158.796,5.8798,0.7886,421.0667,31.3467,198.8472,3.38,0,0,10.425,493.6378,23.8077,7.8827,29.08,524.3577,14.6172,281.948,0,3.0624,7.3635,10.6074,0,26.127,0,2.6088,0,3.0639,0.97,101.4125,94.326,0,0,5.4492,0,8.001,10.8032,208.6056,330.7509,8.97,0,84.4211,0.778,0,90.72,30.217,133.599,70.6665,0,386.51,4.0635,6.8107,9.7226,0,21.3982,0,0,0,0,0,75.72,0,0,83.52,0,0,0,0,153.0215
0,0,0,0,0,0,0,0,0,0,0.3605,0,0,0,0,0,3.2751,5.6985,309.54,391.5,0,0,0,0,36.4591,2.6894,0.952,0,10.4752,2.106,7.6225,157.7835,279.6717,327.705,0.697,0.743,5.2665,2.4472,0,1.08,0,0.645,0,0,2.7015,1.2636,16.821,4.5609,0.703,0,1260.6161,185.6417,55.034,0,0,5.2556,5.9462,170.2072,6.1556,0.9262,381.263,32.1309,228.688,3.625,0,0,10.77,586.8687,23.6994,7.1764,26.48,468.1512,22.946,383.3372,0,2.3672,7.3025,11.205,0,25.7173,0,1.7214,0,3.0165,1.4,101.0795,93.404,0,0,5.6088,0,6.1037,11.0682,247.674,280.9179,9.339,0,84.9021,0.7039,0,95.64,30.4497,133.3711,64.1039,0,394.141,4.2513,5.9244,7.6245,0,20.4334,0,0,0,0,0,78,0,0,85.2,0,0,0,0,157.7135
0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,3.3146,8.1073,291.45,437.85,0,0,0,0,40.3817,2.7504,1.5625,0,14.0501,2.1675,5.2845,165.603,333.5511,345.09,0.719,0.76,5.4048,2.5042,0,1.0736,0,0.673,0,0,2.6608,1.2925,17.0667,4.6564,0.722,0,1273.3441,342.0587,60.11,0,0,5.5449,6.3533,184.2646,6.4299,1.0593,409.7322,32.8039,240.6284,3.535,0,0,10.365,615.3578,22.6269,7.1127,28.2,526.5462,22.9095,317.9454,0,3.0888,7.1785,10.7568,0,23.6851,0,1.5046,0,2.7887,1.58,91.7276,86.162,0,0,5.6924,0,7.4322,10.9192,258.0094,338.1465,9.342,0,86.5059,0.3576,0,88.68,31.2843,130.7319,57.6175,0,377.225,4.1554,6.2346,8.8897,0,19.3494,0,0,0,0,0,21.24,0,0,83.28,0,0,0,0,156.2768
