Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_c_20110386,400041,NG (Natural Gas),727.0,321.12,5.9154896423680405
ID_c_20113387,400011,NG (Natural Gas),727.0,321.12,5.9154896423680405
ID_c_20109388,400041,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20110389,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20110390,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20111391,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20111392,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20110393,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20107394,400041,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20108395,400041,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20109396,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20109397,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20112398,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20112399,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20113400,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20112401,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20111402,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20113403,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20112404,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20112405,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20113406,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20112407,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20112408,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20113409,400031,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20978410,400501,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20981411,400501,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20978412,400501,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20979413,400501,NG (Natural Gas),233.0,102.92,8.86567494855161
ID_c_20981414,400501,NG (Natural Gas),233.0,102.92,8.86567494855161
